Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/9/2019","2,905","11,181","8.1","11","597","270","16","6","1,387"
"2/9/2019","3,024","13,621","9.77","11","744","276","26","23","1,552"
"3/9/2019","2,912","11,663","8.38","10","758","248","23","12","1,391"
"4/9/2019","3,253","15,962","11.58","13","696","352","22","13","1,835"
"5/9/2019","3,090","13,422","9.66","13","697","258","46","23","1,607"
"6/9/2019","3,164","14,348","10.39","22","600","326","21","10","1,682"
"7/9/2019","3,181","15,129","10.86","22","573","282","29","33","1,734"
"8/9/2019","2,653","8,398","6.1","11","748","196","12","18","1,039"
"9/9/2019","3,678","12,446","9.04","17","565","391","25","27","2,277"
"10/9/2019","2,715","10,018","7.2","9","735","205","11","17","1,113"
"11/9/2019","2,970","12,157","8.7","18","669","286","30","13","1,473"
"12/9/2019","3,143","14,649","10.56","45","700","285","25","25","1,664"
"13/9/2019","2,042","1,709","1.24","1","963","75","0","0","309"
"14/9/2019","2,864","10,173","7.39","14","728","213","37","18","1,261"
"15/9/2019","2,642","7,188","5.22","1","785","236","0","0","1,031"
"16/9/2019","3,147","15,405","10.89","7","728","252","41","34","1,651"
"17/9/2019","3,027","12,571","8.97","16","613","281","14","27","1,522"
"18/9/2019","3,153","13,548","9.74","29","596","355","14","14","1,735"
"19/9/2019","3,707","17,896","12.9","10","656","178","120","90","2,268"
"20/9/2019","3,084","13,541","9.79","17","719","245","37","20","1,536"
"21/9/2019","2,696","9,771","7.08","3","671","206","15","12","1,119"
"22/9/2019","2,830","9,818","7.13","8","756","219","21","18","1,196"
"23/9/2019","2,896","11,747","8.49","6","768","263","12","20","1,381"
"24/9/2019","3,028","13,427","9.68","12","745","266","34","21","1,524"
"25/9/2019","3,160","15,058","10.86","11","747","293","39","27","1,723"
"26/9/2019","2,224","2,138","1.55","0","1,010","95","0","0","381"
"27/9/2019","1,957","1,020","0.74","0","1,072","55","0","0","222"
"28/9/2019","2,774","9,434","6.79","10","747","206","29","10","1,154"
"29/9/2019","3,469","13,238","9.57","15","661","298","71","21","1,965"
"30/9/2019","3,615","19,438","14.08","25","566","325","83","43","2,260"

